Comuna,Total Mesas,Total Electores,Total Votación,% Participación
ARICA,522,180.315,84.396,"46,80"
CAMARONES,10,3.471,919,"26,48"
GENERAL LAGOS,6,2.158,313,"14,50"
PUTRE,14,5.554,1.075,"19,36"
ALTO HOSPICIO,171,57.742,26.258,"45,47"
CAMIÑA,7,2.549,513,"20,13"
COLCHANE,7,2.995,524,"17,50"
HUARA,28,9.041,1.529,"16,91"
IQUIQUE,598,167.867,80.359,"47,87"
PICA,17,5.460,2.435,"44,60"
POZO ALMONTE,37,11.866,4.843,"40,81"
ANTOFAGASTA,827,284.389,144.068,"50,66"
CALAMA,382,132.447,62.782,"47,40"
MARIA ELENA,17,6.451,2.138,"33,14"
MEJILLONES,30,9.825,5.128,"52,19"
OLLAGUE,5,1.788,379,"21,20"
SAN PEDRO DE ATACAMA,20,6.928,3.337,"48,17"
SIERRA GORDA,9,3.166,856,"27,04"
TALTAL,31,10.408,4.665,"44,82"
TOCOPILLA,69,22.316,10.288,"46,10"
ALTO DEL CARMEN,15,4.871,1.817,"37,30"
CALDERA,43,14.652,7.983,"54,48"
CHAÑARAL,38,11.989,5.764,"48,08"
COPIAPO,414,123.347,60.971,"49,43"
DIEGO DE ALMAGRO,41,13.455,5.410,"40,21"
FREIRINA,18,5.899,2.701,"45,79"
HUASCO,25,8.326,4.236,"50,88"
TIERRA AMARILLA,42,12.762,5.785,"45,33"
VALLENAR,133,45.465,21.075,"46,35"
ANDACOLLO,35,11.221,6.071,"54,10"
CANELA,27,8.913,3.781,"42,42"
COMBARBALA,39,12.460,5.064,"40,64"
COQUIMBO,483,165.547,81.859,"49,45"
ILLAPEL,81,27.634,12.633,"45,72"
LA HIGUERA,14,4.286,1.564,"36,49"
LA SERENA,502,172.217,90.131,"52,34"
LOS VILOS,54,18.062,8.875,"49,14"
MONTE PATRIA,95,27.916,11.199,"40,12"
OVALLE,268,91.515,40.319,"44,06"
PAIHUANO,15,5.122,2.414,"47,13"
PUNITAQUI,31,10.557,4.175,"39,55"
RIO HURTADO,15,4.690,1.638,"34,93"
SALAMANCA,68,23.171,10.523,"45,41"
VICUÑA,67,23.097,10.857,"47,01"
ALGARROBO,38,12.896,7.086,"54,95"
CABILDO,53,18.037,9.099,"50,45"
CALERA,131,44.986,24.125,"53,63"
CALLE LARGA,33,11.265,6.609,"58,67"
CARTAGENA,55,17.721,9.075,"51,21"
CASABLANCA,64,22.139,11.508,"51,98"
CATEMU,35,12.039,5.965,"49,55"
CONCON,111,38.162,24.384,"63,90"
EL QUISCO,38,12.914,7.241,"56,07"
EL TABO,34,10.307,5.842,"56,68"
HIJUELAS,45,15.422,7.648,"49,59"
ISLA DE PASCUA,18,6.053,2.726,"45,04"
JUAN FERNANDEZ,3,917,439,"47,87"
LA CRUZ,46,15.760,9.006,"57,14"
LA LIGUA,91,30.147,16.001,"53,08"
LIMACHE,112,38.584,20.221,"52,41"
LLAILLAY,61,20.722,11.645,"56,20"
LOS ANDES,163,56.032,31.276,"55,82"
NOGALES,65,19.641,10.812,"55,05"
OLMUE,47,16.111,7.878,"48,90"
PANQUEHUE,19,6.371,3.588,"56,32"
PAPUDO,18,5.643,3.500,"62,02"
PETORCA,28,9.320,4.639,"49,77"
PUCHUNCAVI,42,15.245,8.659,"56,80"
PUTAENDO,41,13.859,7.246,"52,28"
QUILLOTA,219,75.056,39.004,"51,97"
QUILPUE,389,133.318,74.057,"55,55"
QUINTERO,71,24.237,12.943,"53,40"
RINCONADA,27,9.195,5.434,"59,10"
SAN ANTONIO,229,78.551,44.050,"56,08"
SAN ESTEBAN,45,14.902,8.638,"57,97"
SAN FELIPE,177,60.048,33.388,"55,60"
SANTA MARIA,35,11.930,6.466,"54,20"
SANTO DOMINGO,35,10.898,6.623,"60,77"
VALPARAISO,884,290.851,148.157,"50,94"
VILLA ALEMANA,282,96.896,53.381,"55,09"
VIÑA DEL MAR,936,301.101,160.846,"53,42"
ZAPALLAR,24,7.930,4.909,"61,90"
ALHUE,21,6.004,2.640,"43,97"
BUIN,251,73.511,40.587,"55,21"
CALERA DE TANGO,65,22.016,12.750,"57,91"
CERRILLOS,205,67.845,37.318,"55,00"
CERRO NAVIA,350,116.544,64.102,"55,00"
COLINA,258,87.987,49.449,"56,20"
CONCHALI,387,119.859,65.708,"54,82"
CURACAVI,75,25.834,14.788,"57,24"
EL BOSQUE,409,138.923,75.838,"54,59"
EL MONTE,80,27.418,15.076,"54,99"
ESTACION CENTRAL,396,127.362,62.940,"49,42"
HUECHURABA,214,72.756,45.957,"63,17"
INDEPENDENCIA,235,81.550,38.472,"47,18"
ISLA DE MAIPO,79,27.290,15.223,"55,78"
LA CISTERNA,259,83.559,45.847,"54,87"
LA FLORIDA,909,307.743,182.344,"59,25"
LA GRANJA,318,104.909,57.302,"54,62"
LA PINTANA,405,139.554,73.732,"52,83"
LA REINA,283,91.690,59.183,"64,55"
LAMPA,171,57.086,31.385,"54,98"
LAS CONDES,772,267.875,166.540,"62,17"
LO BARNECHEA,236,81.361,55.257,"67,92"
LO ESPEJO,288,91.888,50.681,"55,16"
LO PRADO,272,89.765,51.362,"57,22"
MACUL,293,101.724,60.501,"59,48"
MAIPU,1.153,389.595,243.115,"62,40"
MARIA PINTO,33,11.262,5.473,"48,60"
MELIPILLA,281,96.589,43.131,"44,65"
ÑUÑOA,608,195.466,125.216,"64,06"
PADRE HURTADO,125,42.789,26.116,"61,03"
PAINE,158,52.520,27.952,"53,22"
PEDRO AGUIRRE CERDA,325,94.170,55.979,"59,44"
PEÑAFLOR,209,71.945,42.977,"59,74"
PEÑALOLEN,569,192.235,115.226,"59,94"
PIRQUE,75,21.736,13.102,"60,28"
PROVIDENCIA,493,169.757,94.100,"55,43"
PUDAHUEL,497,168.418,99.678,"59,18"
PUENTE ALTO,1.245,398.965,228.573,"57,29"
